Model,City,Year,Mileage,FuelType,Transmission,Color,Assembly,EngineCapacity,Price
Mehran VXR Euro II,Islamabad,2019,1 - 165000,Petrol,Manual,Bronze,Local,796,1010000 - 1849999
Mehran VXR Euro II,Karachi,2014,1 - 165000,Petrol,Manual,Solid White,Local,796,1700000 - 1009999
Mehran VXR Euro II,Karachi,2017,1 - 165000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
Mehran VXR Euro II,Karachi,2017,1 - 165000,Petrol,Manual,Graphite Grey,Local,796,1010000 - 1849999
Mehran VXR Euro II,Lahore,2016,1 - 165000,Petrol,Manual,Graphite Grey,Local,796,1010000 - 1849999
Mehran VXR Euro II,Lahore,2017,1 - 165000,Petrol,Manual,Graphite Grey,Local,796,1700000 - 1009999
Mehran VXR Euro II,Lahore,2017,1 - 165000,Petrol,Manual,White,Local,800,1010000 - 1849999
Mehran VXR Euro II,Lahore,2018,1 - 165000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
Mehran VXR Euro II,Rawalpindi,2014,1 - 165000,Petrol,Manual,Graphite Grey,Local,796,1010000 - 1849999
Mehran VXR Euro II,Rawalpindi,2017,1 - 165000,Petrol,Manual,Grey,Local,800,1010000 - 1849999
Mehran VXR Euro II,Rawalpindi,2017,1 - 165000,Petrol,Manual,Graphite Grey,Local,796,1010000 - 1849999
Mehran VXR Euro II,Rawalpindi,2017,660001 - 825000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
Mehran VXR Euro II,Rawalpindi,2018,1 - 165000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
Swift DLX 1.3,Islamabad,2013,1 - 165000,Petrol,Manual,Blue,Local,1300,1850000 - 2689999
Swift DLX 1.3,Islamabad,2016,1 - 165000,Petrol,Manual,Silky Silver,Local,1300,1850000 - 2689999
Swift DLX 1.3,Islamabad,2016,1 - 165000,Petrol,Manual,Solid White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Islamabad,2018,1 - 165000,Petrol,Manual,Solid White,Local,1300,2690000 - 3529999
Swift DLX 1.3,Islamabad,2018,1 - 165000,Petrol,Manual,White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Islamabad,2018,1 - 165000,Petrol,Manual,Solid White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Islamabad,2018,1 - 165000,Petrol,Manual,Solid White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Islamabad,2019,1 - 165000,Petrol,Manual,Solid White,Local,1300,2690000 - 3529999
Swift DLX 1.3,Karachi,2014,1 - 165000,Petrol,Manual,Solid White,Local,1300,1010000 - 1849999
Swift DLX 1.3,Karachi,2015,1 - 165000,Petrol,Manual,Solid White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2015,1 - 165000,Petrol,Manual,Solid White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2015,1 - 165000,Petrol,Manual,Red,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2015,1 - 165000,Petrol,Manual,Sand Beige,Local,1300,1010000 - 1849999
Swift DLX 1.3,Karachi,2017,1 - 165000,Petrol,Manual,Silky Silver,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2017,1 - 165000,Petrol,Manual,Black,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2018,1 - 165000,Petrol,Manual,Graphite Grey,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2018,1 - 165000,Petrol,Manual,White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2018,1 - 165000,Petrol,Manual,Solid White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2019,1 - 165000,Petrol,Manual,Graphite Grey,Local,1300,1850000 - 2689999
Swift DLX 1.3,Karachi,2019,1 - 165000,Petrol,Manual,Silky Silver,Local,1300,1850000 - 2689999
Swift DLX 1.3,Lahore,2014,1 - 165000,Petrol,Manual,Grey,Local,1300,1010000 - 1849999
Swift DLX 1.3,Lahore,2016,1 - 165000,Petrol,Manual,Burgundy,Local,1300,1850000 - 2689999
Swift DLX 1.3,Lahore,2017,1 - 165000,Petrol,Manual,Grey,Local,1300,1850000 - 2689999
Swift DLX 1.3,Lahore,2017,1 - 165000,Petrol,Manual,Beige,Local,1300,1850000 - 2689999
Swift DLX 1.3,Lahore,2018,1 - 165000,Petrol,Manual,Solid White,Local,1300,2690000 - 3529999
Swift DLX 1.3,Lahore,2018,1 - 165000,Petrol,Manual,Gold,Local,1300,1850000 - 2689999
Swift DLX 1.3,Rawalpindi,2019,1 - 165000,Petrol,Manual,Solid White,Local,1300,1850000 - 2689999
Swift DLX 1.3,Rawalpindi,2020,1 - 165000,Petrol,Manual,Solid White,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Islamabad,2016,1 - 165000,Petrol,Automatic,Solid White,Local,1300,1850000 - 2689999
